(Do Not Modify) Opportunity,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account,Topic,Estimated signature date,Current BPF Status,Owner,Annual Margin,Total Service Amount,Primary Pillar,Are we shortlisted?,License SaaS ARR,Current BPF Advance Date,Pillar Must Win
4fb69a35-9493-4df9-80d3-792ce7f44042,5UCLsnqEi0am/Sk+W4davncGXPYtcXfiAeA9WPk6hGykJPkRDLLvhsfaBFjYKY/ZwVByWe4rBjx/8xFwLhDSJg==,18/01/2026 21:54,Armadillo (F5AU),Employment Hero Margin,30/06/2026,Solutioning,Anthony Najafian,4000,0,NetSuite,,20000,1/04/2025 11:47,
fbba2f11-25f1-f011-8407-7c1e5289dd25,NBNeOV2Pl5CyxHVKiv5lRCuqrZW/xbbSMrUTBHx7ebh5xzdWk4dfismeA4vlP4aYnTf2b8S5p0tO0eyfWXY5rw==,18/01/2026 22:00,National Breast Cancer Foundation,National Breast Cancer Foundation   NetSuite ,30/06/2026,Qualification,Anthony Najafian,30000,150000,NetSuite,,60000,14/01/2026 18:43,No
a5096de2-dedf-f011-8544-7ced8d347b77,DLnZvZhwK4iOJEYpsjfkmtFXanhu6JxGks7G6fV3JaX7cw5dP4Xva2vRFmud4Wua2YG0H4rgu3T/n5kQH9nF0Q==,11/01/2026 13:33,Virtus Health,Virtus Health   NetSuite ,30/06/2026,Qualification,Anthony Najafian,40000,200000,NetSuite,,80000,23/12/2025 19:08,No
fe3a3b8d-94d1-f011-bbd3-7ced8da2b14d,mPGNTS301JXg3WmT78Zv8tcbOuQnRAQUCB1E+iy3Xkt5kk4W1BD2kz4LE2C5m6TY5ljm2EiQ6AN9fLQz6PbeBw==,5/12/2025 6:00,Synertec,Synertec RFP,30/06/2026,Qualification,Tony Goh,90000,250000,NetSuite,,180000,5/12/2025 14:40,No
a90b1aa6-94d1-f011-bbd3-7ced8da2b14d,8DwV23OCJMtAtDDrh99OUnusMor+9WMF2ioAsC9c1TPc6uoLNK7OSeRcIef3T51endRr62goqdQA9Xpxv+VpMg==,5/12/2025 6:00,FBT-Transwest Pty Ltd,FBT-Transwest Pty Ltd   NetSuite,30/06/2026,Qualification,Tony Goh,45000,200000,NetSuite,,90000,5/12/2025 14:41,No
d2732d8c-4b93-49e8-a154-84511fb21b1c,XHDi8hKowrlKU2WMTYuOEl0fN/Rfpf8pzryUn37TjWfBjEznBBzl8zLUxvZ8/q5ZQcfXDqa74BQEnXUZ6NtxwA==,19/01/2026 21:07,AIRLOCK DIGITAL PTY LTD,Airlock | NetSuite SaaS,30/06/2026,Qualification,Anthony Najafian,40000,200000,NetSuite,,80000,17/03/2025 9:04,
1da23caa-f88a-4633-92b8-92d5646e5db3,oDPqorHuyuJjTAwVGQAIVEJKiMfg4a3LiFcgZUrey2V4fPCGtyEHUejtCG/oKhdH2KE02FtwPkfYt89x+Snh5Q==,26/01/2026 10:10,RZ Resources,New NetSuite RZ Resources,30/06/2026,Solutioning,Anthony Najafian,45000,175000,NetSuite,,90000,9/04/2025 11:39,
7e2302a4-f59e-476c-a2d9-c0a3f5503270,o9xsUT1uo7R/WlDBeFjZNtFBexS2xQ7Z10QTjVwxvkjhddnbh1yRSU6cc/opkPsVgHnl+aAtsy0NneBQ4bcZ2Q==,11/01/2026 11:12,UBT Marketing,"ESS Users + F5 Timesheet UI + Prm Tier, Demand Planning & SB (TBD)",30/06/2026,Solutioning,Anthony Najafian,12150,0,NetSuite,,40500,27/03/2025 12:07,
8b08b1d6-f124-41de-9f96-c9b48c164c24,/4W16EMhHDE7d6Obhli+PJoiMF3rkcgXISd/b3Ho4hxb97rRqSoCNDxMQx/OMD8UsDO9TCKRZiD25d7KbNOMRQ==,18/01/2026 21:54,Armadillo (F5AU),Armadillo Pre Go-Live incl. modules and CRM Users,30/06/2026,Qualification,Anthony Najafian,15000,0,NetSuite,,30000,28/11/2024 12:55,
5350586f-b003-4b9b-8c8a-d0dbc263f944,55vk3cxWnZV2QPcqRff3m4kH4xb9kOYGeJho5fG/ei+11c1L00PNHp7YCWUTrL+ppUI5f8pgGZuV356YsmWnXw==,22/12/2025 2:19,Delta Burn Pty Ltd,NetSuite Opportunity,30/06/2026,Solutioning,Anthony Najafian,30000,100000,NetSuite,,60000,17/03/2025 8:26,
f52fd8f6-4d6c-42b7-a008-d2aa55fb0e66,0TYd4N6uN2GmA+Zxliwq6fW0DGtZCK4wkLkMp6tpKIdGzborkUPbzx2zhm7E4T56LkOYq3wMwH6f6K6m71vugg==,10/12/2025 3:05,Angus Australia,New NetSuite Angus Australia,30/06/2026,Qualification,Tony Goh,50000,120000,NetSuite,,100000,12/03/2025 20:29,
62d83964-ea65-49cf-be46-f1562bd5eb06,tTbxQZeFhcK0AP31ax9qwPqT9kqBSHfKurvwCVOB3/etxO8HfFixfXEqx7ipi6CRA7HBFU1Vc1P8XHL3lKswbg==,15/01/2026 23:16,Hillery Group,Hillery New NS,30/06/2026,Qualification,Tony Goh,30000,0,NetSuite,,60000,5/12/2025 14:44,No
a3129f7f-fc62-4fd0-b96f-f361d28ec891,o+62+bXeINZrkqmUGg6RY0TMu+iZKNVCdM58KG+6TIhEtDMaZAeWnWvRjUhiiR1bxAr0G6crYGpQjQ99Cx0kvA==,22/12/2025 2:18,Compassion Australia,NetSuite RFP,30/06/2026,Qualification,Anthony Najafian,20000,100000,NetSuite,,40000,21/05/2025 16:21,
31700bc7-cddf-f011-8544-7ced8d347b77,+yQsD6h7/Fl3oEC+nMtD9Hwt0kcUwkHDAUg5Z52ygFu5y4ziHdS6Af23c5ciZVIt3vxQVNlP5PpxXcNQKN4F7g==,24/12/2025 5:10,Linfox Armaguard Pty Ltd,Linfox Armaguard,31/07/2026,Qualification,Anthony Najafian,45000,250000,NetSuite,,90000,23/12/2025 17:05,No
0e5dba73-3b86-48ad-bedf-517dd137e75c,S8lCU5xDsDF2rxJ2vN4BQKIQWGo5UFk0Qq+x5X/MIsqgziCdF223VJzPZ6SNGSP+3wnNyiqCZbmbJ+BZjLeC2w==,1/12/2025 22:55,Mountain Blue,New NetSuite Mountain Blue,30/09/2026,Solutioning,Tony Goh,45000,200000,NetSuite,,90000,15/04/2025 16:20,
